Size: 40000

['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']

XGBoost (accuracy): [0.9216, 0.9229, 0.942325, 0.936775, 0.938725, 0.9607, 0.939125, 0.933025, 0.92665, 0.961325, 0.954925]

AdaBoost (CB) (accuracy): [0.93, 0.92885, 0.946075, 0.9379, 0.940475, 0.959525, 0.9401, 0.9172, 0.9162, 0.96025, 0.957325]

AdaBoost (RF) (accuracy): [0.924225, 0.926175, 0.948425, 0.93065, 0.93775, 0.960325, 0.9344, 0.910425, 0.922825, 0.95675, 0.951075]

LightGBM (accuracy): [0.92365, 0.919775, 0.934675, 0.9313, 0.934125, 0.956975, 0.932725, 0.90845, 0.9106, 0.958675, 0.9531]

AdaBoost (LGBM) (accuracy): [0.9388, 0.939225, 0.95665, 0.949, 0.953375, 0.9691, 0.94945, 0.951425, 0.9337, 0.9658, 0.96405]

XGBoost (auc): [0.9247125950073996, 0.9225184480457528, 0.942210940552319, 0.9356581499475529, 0.9383560146950967, 0.9605425402468627, 0.9386805274068442, 0.9321574434447714, 0.9095240148342643, 0.9612922994229606, 0.9549708700766301]

AdaBoost (CB) (auc): [0.9320432802224298, 0.9286310215097521, 0.9460563288360252, 0.9368503405383659, 0.9398857431890358, 0.959326498948042, 0.9397621215567374, 0.9103431632447359, 0.8995572847342014, 0.9602357533152809, 0.9573660658040984]

AdaBoost (RF) (auc): [0.9287256811270976, 0.9254321415258494, 0.9488154483945884, 0.9290677704922327, 0.9375811744749519, 0.9603827433423816, 0.9335471465127271, 0.9066818486269671, 0.9084588750256614, 0.9567070161924153, 0.9511488139693253]

LightGBM (auc): [0.9258546707491236, 0.9194400321862205, 0.934554183870124, 0.9301545294663776, 0.9336062748746103, 0.9568437119726555, 0.9322230256197089, 0.901839589979007, 0.8983947676523871, 0.9586435746752688, 0.9531483862619631]

AdaBoost (LGBM) (auc): [0.9413583335691306, 0.9389083298039493, 0.9567715602949683, 0.9480984550817169, 0.9531307063395807, 0.9690181680605462, 0.9489136058990357, 0.9514183820947661, 0.9272677527037205, 0.965765581078484, 0.9640965667232897]

XGBoost (precision): [0.9572559608255915, 0.9300463548251159, 0.9428681721675353, 0.9665761321434511, 0.9343818302765371, 0.9598466698610446, 0.9443471802217625, 0.9489060489060489, 0.9239961759082218, 0.9692574813604331, 0.9735749143391133]

AdaBoost (CB) (precision): [0.9582337287447567, 0.9314511928325867, 0.9488697002037451, 0.9656808651511808, 0.9310879368658399, 0.9578212424083018, 0.9429611650485437, 0.9145051264245742, 0.9191470457574411, 0.9634966378482228, 0.9740488006617039]

AdaBoost (RF) (precision): [0.9667286245353159, 0.9451024933744389, 0.9621347644603458, 0.9749770957398076, 0.9380131559994238, 0.9644950351174618, 0.9486887732986563, 0.921309543847837, 0.9271676300578034, 0.9671853335387459, 0.9814755669115298]

LightGBM (precision): [0.9541442216287176, 0.9252532675450108, 0.9355274587395039, 0.9612480568509882, 0.9268465239128384, 0.9569995680760186, 0.9386268148699676, 0.9092961214857377, 0.9245247292282057, 0.9662175954276383, 0.9727353140121755]

AdaBoost (LGBM) (precision): [0.9677331764492918, 0.9456253608355639, 0.9626081431154992, 0.9734368167905553, 0.9507452703993885, 0.9693808882907133, 0.9579020382029666, 0.9657322211712099, 0.9492340851358633, 0.9742881971067832, 0.9833255415303102]

XGBoost (recall): [0.9047536658159955, 0.909540490418298, 0.9456516478730097, 0.9005370791158851, 0.9483964311550519, 0.9646537609554079, 0.9277598248723027, 0.9369678485195069, 0.9666487151869518, 0.9525721455457967, 0.9354516885319499]

AdaBoost (CB) (recall): [0.9189411306717419, 0.9211827735421388, 0.9466195615351111, 0.9038421813674861, 0.9559199421268387, 0.9645092940383319, 0.9314604399040968, 0.9483627737535477, 0.9550700107708878, 0.9564366373902133, 0.9398912555494587]

AdaBoost (RF) (recall): [0.8998659111553268, 0.9001648464867092, 0.9370372162803078, 0.8793121255938856, 0.9421750663129973, 0.9588750842723683, 0.9125925153757949, 0.9274367772270936, 0.9563779042929681, 0.9452446675031367, 0.9197386142564973]

LightGBM (recall): [0.9117176348457978, 0.9080465691324954, 0.9381987126748295, 0.8941334435034084, 0.9477212442729684, 0.9602715978041029, 0.919889502762431, 0.9384928199262931, 0.9391060163102015, 0.9502634880803011, 0.9325584875542475]

AdaBoost (LGBM) (recall): [0.9249535014490247, 0.9281372347001855, 0.9531045830711901, 0.9197479859533154, 0.9597781528816012, 0.9711547722238274, 0.9357343896591265, 0.9514550768839751, 0.9487228804431451, 0.9565872020075282, 0.94428093979149]

