Size: 25

['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']

Nearest Neighbors (accuracy): [0.56, 0.52, 0.48, 0.52, 0.56, 0.64, 0.56, 0.6, 0.36, 0.72, 0.68]

Decision Tree (accuracy): [0.6, 0.6, 0.44, 0.36, 0.56, 0.68, 0.64, 0.52, 0.6, 0.52, 0.56]

Random Forest (accuracy): [0.6, 0.68, 0.48, 0.52, 0.68, 0.76, 0.68, 0.48, 0.68, 0.72, 0.72]

Neural Net (default) (accuracy): [0.52, 0.2, 0.48, 0.72, 0.56, 0.4, 0.36, 0.6, 0.52, 0.44, 0.6]

QDA (accuracy): [0.56, 0.64, 0.36, 0.32, 0.72, 0.52, 0.64, 0.48, 0.76, 0.6, 0.56]

Naive Bayes (accuracy): [0.64, 0.72, 0.44, 0.36, 0.6, 0.64, 0.56, 0.72, 0.72, 0.6, 0.64]

SGD (accuracy): [0.52, 0.8, 0.48, 0.32, 0.44, 0.52, 0.68, 0.44, 0.48, 0.44, 0.44]

LightGBM (accuracy): [0.48, 0.8, 0.48, 0.68, 0.56, 0.52, 0.32, 0.44, 0.48, 0.44, 0.4]

Nearest Neighbors (auc): [0.5737179487179487, 0.55, 0.5, 0.4816176470588236, 0.5, 0.6282051282051282, 0.5772058823529412, 0.5844155844155845, 0.3621794871794872, 0.7012987012987012, 0.6666666666666667]

Decision Tree (auc): [0.592948717948718, 0.75, 0.45192307692307687, 0.43014705882352944, 0.538961038961039, 0.6891025641025642, 0.6691176470588236, 0.5519480519480519, 0.6057692307692308, 0.5032467532467533, 0.6166666666666667]

Random Forest (auc): [0.6057692307692308, 0.575, 0.5, 0.6139705882352942, 0.6363636363636364, 0.7564102564102566, 0.7647058823529411, 0.5357142857142857, 0.6891025641025641, 0.75, 0.75]

Neural Net (default) (auc): [0.5, 0.5, 0.5, 0.6286764705882353, 0.5, 0.4166666666666667, 0.5294117647058824, 0.5551948051948052, 0.5, 0.5, 0.5]

QDA (auc): [0.5448717948717949, 0.5499999999999999, 0.3493589743589744, 0.5, 0.7402597402597403, 0.5320512820512822, 0.6029411764705881, 0.5357142857142857, 0.75, 0.5844155844155845, 0.5833333333333333]

Naive Bayes (auc): [0.6442307692307692, 0.525, 0.4423076923076923, 0.4963235294117647, 0.5746753246753247, 0.6442307692307692, 0.5441176470588235, 0.7012987012987012, 0.7307692307692308, 0.5844155844155845, 0.5833333333333334]

SGD (auc): [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5333333333333333]

LightGBM (auc): [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]

Nearest Neighbors (precision): [0.5238095238095238, 0.23076923076923078, 0.0, 0.6666666666666666, 0.56, 0.6, 0.38461538461538464, 0.625, 0.35714285714285715, 0.7058823529411765, 0.6]

Decision Tree (precision): [0.625, 0.3333333333333333, 0.4, 0.5714285714285714, 0.5882352941176471, 0.8571428571428571, 0.46153846153846156, 0.6666666666666666, 0.5625, 0.5625, 0.47368421052631576]

Random Forest (precision): [0.5625, 0.2857142857142857, 0.0, 0.8571428571428571, 0.6363636363636364, 0.7333333333333333, 0.5, 1.0, 0.6111111111111112, 1.0, 0.6]

Neural Net (default) (precision): [0.0, 0.2, 0.0, 0.75, 0.56, 0.0, 0.3333333333333333, 0.5909090909090909, 0.0, 0.0, 0.0]

QDA (precision): [0.6666666666666666, 0.25, 0.42105263157894735, 0.0, 0.8888888888888888, 0.6, 0.4444444444444444, 1.0, 1.0, 0.625, 0.4666666666666667]

Naive Bayes (precision): [0.6, 0.25, 0.45454545454545453, 0.6666666666666666, 0.6111111111111112, 0.7, 0.36363636363636365, 0.7058823529411765, 0.631578947368421, 0.625, 0.6]

SGD (precision): [0.0, 0.0, 0.0, 0.0, 0.0, 0.52, 0.0, 0.0, 0.48, 0.0, 0.4166666666666667]

LightGBM (precision): [0.48, 0.0, 0.0, 0.68, 0.56, 0.52, 0.32, 0.0, 0.48, 0.0, 0.4]

Nearest Neighbors (recall): [0.9166666666666666, 0.6, 0.0, 0.5882352941176471, 1.0, 0.9230769230769231, 0.625, 0.7142857142857143, 0.4166666666666667, 0.8571428571428571, 0.6]

Decision Tree (recall): [0.4166666666666667, 1.0, 0.15384615384615385, 0.23529411764705882, 0.7142857142857143, 0.46153846153846156, 0.75, 0.2857142857142857, 0.75, 0.6428571428571429, 0.9]

Random Forest (recall): [0.75, 0.4, 0.0, 0.35294117647058826, 1.0, 0.8461538461538461, 1.0, 0.07142857142857142, 0.9166666666666666, 0.5, 0.9]

Neural Net (default) (recall): [0.0, 1.0, 0.0, 0.8823529411764706, 1.0, 0.0, 1.0, 0.9285714285714286, 0.0, 0.0, 0.0]

QDA (recall): [0.16666666666666666, 0.4, 0.6153846153846154, 0.0, 0.5714285714285714, 0.23076923076923078, 0.5, 0.07142857142857142, 0.5, 0.7142857142857143, 0.7]

Naive Bayes (recall): [0.75, 0.2, 0.38461538461538464, 0.11764705882352941, 0.7857142857142857, 0.5384615384615384, 0.5, 0.8571428571428571, 1.0, 0.7142857142857143, 0.3]

SGD (recall): [0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]

LightGBM (recall): [1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]

